abhominable, abominable
abhomination, abomination
abhorre, abhor
aboundance, abundance
aboundantly, abundantly
abstaine, abstain
accesse, access
accustome, accustom
accustometh, ''
acrosse, across
adicted, addicted
adjoyning, adjoyning
administred, administered
adoe, ado
afarre, afar
affirme, affirm
affirmeth, ''
againe, again
aire, air
ake, ache
aked, ached
alasse, alas
alleadged, alleged
alotted, allotted
alwaies, always
alwayes, always
amased, amazed
angell, angel
animall, animal
annoint, anoint
annointed, anointed
answere, answer
antient, ancient
antients, ancients
apparell, apparel
appeare, appear
appeareth, ''
appeasest, ''
appoynted, appointed
approched, approached
aproched, approached
arayed, arrayed
ariseth, ''
arived, arrived
arme, arm
armes, arms
arrowes, arrows
aske, ask
asleepe, asleep
assaile, assail
assayle, assail
Asse, Ass
atcheived, achieved
atchieved, achieved
attaine, attain
attentiv, attentive
attyred, attired
auncestry, ancestry
auntients, ancients
authoritys, authorities
autobioggraphy, autobiography
availe, avail
avoyd, avoid
ayd, aid
ayde, aid
ayded, aided
ayding, aiding
ayre, air
backe, back
backes, backs
balme, balm
banket, banquet
bankets, banquets
banketting, banqueting
banquetting, banqueting
barke, bark
barly, barley
barne, barn
barraine, barren
bason, basin
battell, battle
beanes, beans
beare, bear
beares, bears
bearest, ''
beareth, ''
beastes, beasts
beastiall, beastial
beate, beat
beautifull, beautiful
becommeth, ''
beefe, beefe
beeing, being
beene, been
beere, beere
beganne, began
begge, beg
begger, beggar
beginnest, ''
behinde, behind
beholdeth, ''
beleefe, belief
beleeve, believe
beleeved, believed
benigne, benign
bestaill, bestial
bestoweth, ''
betokeneth, ''
betweene, between
bever, beaver
bewaile, bewail
bewayle, bewail
biere, bier
bignesse, bigness
binde, bind
blacke, black
blewish, bluish
blindnes, blindness
blindnesse, blindness
blisse, bliss
bloud, blood
bloudie, bloody
bloudy, bloody
blowes, blows
blowne, blown
boare, boar
boares, boars
bodie, body
boke, book
boldnes, boldness
bonet, bonnet
booke, book
bookes, books
boords, boards
bord, board
bosome, bosom
bottels, bottles
bottome, bottom
boulsters, bolsters
bowe, bow
bowes, bows
boxe, box
boyes, boys
boyled, boiled
branne, bran
brasse, brass
breake, break
breakefast, breakfast
brest, breast
brightnesse, brightness
bringe, bring
bringest, ''
bringeth, ''
bristeled, bristled
broomes, brooms
browne, brown
broyle, broil
broyling, broiling
bryers, briers
brymstone, brimstone
bucke, buck
buffetings, buffetings
buffetted, buffeted
buier, buyer
buiers, buyiers
bulles, bulls
burgen, burgeon
buriall, burial
burne, burn
burneth, burns
busie, busy
businesse, business
buttockes, buttocks
caitif, caitiff
caitife, caitiff
calamitie, calamity
calleth, ''
camell, camel
campe, camp
candels, candles
capacitie, capacity
captaine, captain
captaines, captains
carefull, careful
carelesse, careless
carest, ''
carkases, carcasses
carkasse, carcasse
carnall, carnal
carraine, carrion
carrie, carry
carryed, carried
cary, carry
casteth, ''
causeth, ''
cavellations, cavillations
caverne, cavern
celestiall, celestial
centaures, centaurs
certaine, certain
chaced, chased
chaire, chair
chaires, chairs
chamberlaine, chamberlain
chapell, chapel
charme, charm
charmes, charms
chast, chaste
chastitie, chastity
cheapned, cheapened
cheekes, cheeks
cheere, cheer
chickin, chicken
chiefe, chief
childishnesse, childishness
childrens, children's
chooseth, ''
choppe, chop
christall, crystal
chuffe, chuff
cimbals, cymbals
cinamon, cinnamon
cipresse, cypress
citie, city
citisen, citizen
citisens, citizens
civill, civil
clawes, claws
clayme, claim
cleane, clean
cleare, clear
cleareth, ''
cleere, clear
clense, cleanse
clerke, clerk
climbe, climb
climed, climbed
cloake, cloak
cloakes, cloaks
cloked, cloaked
clubbes, clubs
coale, coal
coate, coat
Cobler, Cobbler
cocke, cock
cockes, cocks
cofers, coffers
colledge, college
comelinesse, comeliness
comly, comely
commandement, commandment
commandements, commandments
commandeth, commands
commaund, command
commaunded, commanded
commaundement, commandement
commest, ''
commeth, ''
comming, coming
commited, committed
commonweale, commonweal
companie, company
compasse, compass
compelleth, compells
complaine, complain
conceale, conceal
confesse, confess
confirme, confirm
contayning, containing
contemme, condemn
contemne', condemn
contemnest, contemnest       ****
continency, continence       ****
continuall, continual
conveniable, convenable
conversent, conversant
cooke, cook
coopyes, copies
corne, corn
corpes, corpse
cosin, cousin
coucheth, couches
counsailed, counselled
counsell, counsel
countrey, country
countreyes, countries
countreys, countries
couragious, courageous
couragiously, courageously
courtesie, courtesy
cousine, cousin
covereth, ''
covetousnes, covetousness
cowardise, cowardice
cowheards, cowherds
crackt, cracked
creepe, creep
crevis, crevice
crie, cry
crowne, crown
crownes, crowns
cruell, cruel
cruellnesse, cruelty          ****
crueltie, cruelty
cryed, cried
cryes, cries
crystall, crystal
cudgill, cudgel
