, ???
doubtlesse, doubtless
downe, down
downeward, downward
dranke, drank
dreadfull, dreadful
dreame, dream
dreamest, ''
dresse, dress
drinke, drink
drinketh, ''
droppe, drop
drowsie, drowsy
drummes, drums
drunke, drunk
dulle, dull
dunge, dung
durty, dirty
dwel, dwell
dwelleth, ''
eare, ear
eares, ears
earle, earl
earneth, ''
easie, easy
eate, eat
eateth, ''
eftsoone, ''
eftsoones, ''
egge, egg
eies, eyes
elderman, ''
emboughings, ''
embracest, ''
emperour, emperor
emperours, emperors
empoysoned, empoisoned
emptie, empty
enchantresse, enchantress
enchauntresse, enchantress
encountereth, ''
encountreth, ''
encrease, increase
encreased, increased
encroch, encroach
endevored, endeavored
enemie, enemy
enfastned, enfastened
enforceth, ''
engraven, ''
enterlaced, interlaced
entertaine, entertain
enterynge, entering
entrailes, entrails
entred, entered
entrie, entry
entring, entering
envie, envy
environest, ''
equall, equal
equitie, equity
errour, error
espie, espy
espieth, ''
espyed, espied
espyeth, ''
esteeme, esteem
eternall, eternal
eunuches, eunuchs
everie, every
evill, evil
excell, excel
excellencie, excellency
excusation, ''
expell, expel
expresse, express
extendeth, ''
extream, extreme
extreame, extreme
extreamely, extremely
eys, eyes
eyther, either
facilitie, facility
facill, facile
faile, fail
faineth, ''
faintnesse, faintness
faire, fair
faireth, ''
fairnesse, fairness
faithfull, faithful
faithfulnes, faithfulness
falsly, falsely
fancie, fancy
fancieth, ''
farre, far
fatall, fatal
favoureth, ''
feare, fear
fearefull, fearful
fearest, ''
feareth, ''
fearfull, fearful
fedde, fed
feedest, ''
feele, feel
feete, feet
feined, feigned
feining, feigning
feiry, fiery
fel, fell
felicitie, felicity
fellony, felony
fellowes, fellows
ferriman, ferryman
fertill, fertile
festivall, festival
filthinesse, filthiness
finde, find
firie, feiry
firmely, firmly
flead, flayed
flie, fly
flintes, flints
floure, flower
floures, flowers
flowne, flown
flowre, flower
flowrishing, flourishing
flowte, flout
flyes, flies
folde, fold
followeth, ''
foming, foaming
foole, fool
fooles, fools
foote, foot
forbeare, forbear
forceth, ''
forefeete, forefeet
foreshew, foreshow
foreshewing, foreshowing
forraigne, foreign
forrein, foreign
forrest, forest
forrests, forests
forsooke, forsook
fortun, fortune
fortuneth, ''
foules, fouls
fountaine, fountain
fountaines, fountains
foure, four
fraile, frail
franckly, frankly
franke, frank
fruitfull, fruitful
funerall, funeral
gaine, gain
gainest, ''
gallowes, gallows
gaole, gaol
gard, guard
garnisht, garnished
gayne, gain
gemmes, gems
genealogie, genealogy
generall, general
gentlemans, gentleman's
gentlenesse, gentleness
getteth, ''
ghests, guests
ghoasts, ghosts
girle, girl
givest, ''
giveth, ''
gladnesse, gladness
glasse, glass
glewed, glued
glistereth, ''
goates, goats
goddes, goddess
goddesse, goddess
goe, go
goest, ''
goeth, ''
golfe, gulf
gon, gone
goodnesse, goodness
gorgiously, gorgeously
governesse, governess
governest, ''
graine, grain
graines, grains
grasse, grass
gratious, gracious
gravitie, gravity
greate, great
greedie, greedy
greedinesse, greediness
greene, green
griefe, grief
griefes, griefs
griphons, griffens
grosse, gross
gulfe, gulf
gumme, gum
gummes, gums
gyants, giants
habite, habit
hagges, hags
haile, hail
haire, hair
haires, hairs
halfe, half
halfepence, halfpence
handes, hands
hapned, happened
hapneth, happeneth
happeneth, ''
harme, harm
harmes, harms
harnesse, harness
harpe, harp
hastely, hastily
hastilie, hastily
hastinesse, hastiness
hateth, ''
haveing, having
hawkes, hawks
hayre, hair
heale, heal
healthfull, healthful
heape, heap
hearbes, herbes
hearbs, herbs
heardsman, herdsman
heare, hear
hearest, ''
heareth, ''
heate, heat
hee, he
heede, heed
heele, heel
heeles, heels
heere, here
heire, heir
helpe, help
helpest, ''
hennes, hens
herbe, herb
herbes, herbs
hew, hue
heynous, heinous
hiew, hue
high-shooes, high-shoes
hilles, hills
hils, hills
himselfe, himself
hinde, hind
hisse, hiss
historie, history
hogge, hog
holdeth, ''
honney, honey
honourably, honorably
hony, honey
hoofe, hoof
hoofes, hooves
hookes, hooks
hopest, ''
hopeth, ''
hore-frost, hoarfrost
horne, horn
hornes, horns
horsebacke, horseback
horsemills, horse mills
hory, horry
hostesse, hostess
houre, hour
houres, hours
humilitie, humility
hundreths, hundredths
hurle, hurl
idley, idly
ile, isle
imagin, imagine
imbrace, embrace
imbraced, embraced
imbracing, embracing
immediatelie, immediately
immediatly, immediately
immortall, immortal
impatiencie, impatience
impatiency, impatience
importunitie, importunity
impoysoned, empoisoned
inchanted, enchanted
inchantment, enchantment
inchantments, enchantments
inchauntments, enchantments
incorporeall, incorporeal
incouraged, encouraged
incurre, incur
indeavour, endeavour
indeavoured, endeavoured
indeavouring, endeavouring
indurance, endurance
infernall, infernal
inforce, enforce
inforced, enforced
ingender, engender
ingendered, engendered
ingraven, engraven
ingrossed, engrossed
inhabitest, ''
inhabiteth, ''
inheretrix, inheritrix
inheritour, inheritor
initiall, initial
inke, ink
inne, inn
innocencie, innocence
insolencie, insolency
inspiration1, inspirationa1
intangled, entangled
intangleth, entangleth
intende, intend
intendeth, ''
interiour, interior
intersparsed, interspersed
intised, enticed
intrailes, entrailes
intrals, entrails
intreat, entreat
intreate, intreat
inventeth, ''
invigilant, unvigilant
invironed, environed
iustice, justice
ivie, ivy
jawes, jaws
jealousie, jealousy
jeast, jest
jenets, jennets
jolity, jollity
journey-work, journeywork
journies, journeys
journy, journey
joye, joy
joyes, joys
joyfull, joyful
joyned, joined
jugler, juggler
kackling, cackling
keene, keen
keepe, keep
keepest, ''
keepeth, ''
keyes, keyes
kicke, kick
kiddes, kids
kild, killed
kinde, kind
kindes, kinds
kindnesse, kindness
kinne, kin
kinsfolke, kinsfolk
kirnels, kernels
kisse, kiss
kisseth, ''
kitchin, kitchen
knocke, knock
knockt, knocked
knowest, ''
knoweth, ''
knowne, known
knowst, ''
lacke, lack
lacketh, ''
ladde, lad
laiden, laden
lambe, lamb
lamenesse, lameness
lampe, lamp
lancknesse, lankness
lanternes, lanterns
laugheth, ''
lawfull, lawful
lawlesse, lawless
lawne, lawn
lawrel, laurel
lawrell, laurel
layd, laid
layeth, ''
leade, lead
leape, leap
learne, learn
leese, lose
legge-harnesse, leg-harness
legges, legs
lesse, less
leysure, leisure
libell, libel
liberall, liberal
lieth, ''
lievtenant, lieutenant
life time, lifetime
likenesse, likeness
lilly, lily
limbes, limbs
linkes, links
linnen, linen
lintles, lintels
littor, litter
littour, litter
liveth, ''
loade, load
loathsom, loathsome
locke, lock
lockes, locks
locketh, ''
logicke, logic
loked, looked
looke, look
losse, loss
lotts, lots
loveth, ''
lowd, loud
loynes, loins
lucke, lucke
luxurie, luxury
lycense, license
madde, mad
madest, ''
madnesse, madness
magicall, magical
magick, magic
magitian, magician
magnificencie, magnificence
maide, maid
maine, main
maintaine, maintain
maisters, masters
maistresse, mistress
maketh, ''
maladie, malady
malitious, malicious
manie, many
mankinde, mankind
marchant, merchant
marchants, merchants
marke, mark
marryed, married
martiall, martial
marvaile, marvel
marvailed, marveled
marvailous, marvelous
marveilously, marvelously
marvell, marvel
marvellously, marvelously
masties, mastffs
mastifes, mastiffs
materiall, material
maunger, manger
maurell, mantle
mayd, maid
mayden, maiden
meane, mean
meanely, meanly
meanes, means
meaneth, ''
meate, meat
meates, meats
meddowes, meadows
meddows, meadows
medled, meddled
medow, meadow
mee, me
meeke, meek
meere, mere
meigre, meager
memorie, memory
mens, men's
mercifull, merciful
merite, merit
metamorphosie, metamorphosis
mettal, metal
middest, ''
mightest, ''
mightie, mighty
milhouse, millhouse
milke, milk
minde, mind
mindes, minds
mindeth, ''
mindfull, mindful
ministery, ministry
ministred, ministered
ministrie, ministry
ministring, ministering
mischiefe, mischief
mischiefes, mischiefs
miserablest, ''
miserie, misery
mistery, mystery
mistres, mistress
mistresse, mistress
mistris, mistress
mistrusteth, ''
mocke, mock
mollifie, mollify
moone, moon
moove, move
mooved, moved
morsell, morsel
mortall, mortal
mosse, moss
mountaine, mountain
mountaines, mountains
mouthes, mouths
moystened, moistened
mulettour, muleteer
murdred, murdered
murtherer, murderer
murtherers, murderers
murthereth, murders
mutuall, mutual
myne, mine
myrie, miry
myselfe, myself
mysterie, mystery
mysticall, mystical
naile, nail
nailes, nails
nativitie, nativity
naturall, natural
nayled, nailed
neasts, nests
necessarie, necessary
necke, neck
neckes, necks
needfull, needful
neer, near
neere, near
neerer, nearer
neverthelesse, nevertheless
newes, news
noating, noting
noone, no one
nosethrilles, nostrils
nosethrils, nostrils
nosthrils, nostrils
notifie, notify
nource, nurse
nourishest, ''
nourisheth, ''
nourse, nurse
now adayes, nowadays
now-adayes, nowadays
noynted, annointed
noyse, noise
noysome, noisome
numbred, numbered
O, Oh
oake, oak
oathes, oaths
obeied, obeyed
obeysance, obeisance
obsequie, obsequy
obstinatly, obstinately
occupie, occupy
oftetimes, oftentimes
oile, oil
oliphante, oliphant
onely, only
opportunitie, opportunity
orbe, orb
ordayned, ordained
ordeined, ordained
ordor, order
originall, original
oughtest, ''
ougly, ugly
outragious, outrageous
outwayes, outways
outways, ''
over-passe, over-pass
overtooke, overtook
owle, owl
owles, owls
owne, own
oxe, ox
oyle, oil
oyles, oils
oyntment, ointment
pacifie, pacify
pagiant, pageant
paied, paid
paine, pain
painefull, painful
paines, pains
painfull, painful
painte, paint
paire, pair
pallace, palace
palme, palm
panch, paunch
pantofiles, pantofles
paracide, parricide
parcell, parcel
paricide, parricide
parler, parlor
passeth, ''
pathes, paths
patrimonie, patrimony
patrone, patron
patterne, pattern
payd, paid
paynes, pains
pearce, pierce
pearles, pearls
peason, peasen
peeces, pieces
penall, penal
pennie, penny
peny, penny
perceiveth, ''
perfectnesse, perfectness
perhappes, perhaps
periles, perils
perill, peril
perilles, perils
perillous, perilous
perpetuall, perpetual
persever, persevere
persuadeth, ''
perswade, persuade
perswaded, persuaded
perswadeth, ''
perswading, persuading
perswasion, persuasion
phisitian, physician
phisitians, physicians
physitian, physician
physitians, physicians
physition, physician
picke, pick
pigge, pig
pillowes, pillows
pismares, pismires
pisse, piss
pitifull, pitiful
pitiously, piteously
pitteously, piteously
pittied, pitied
pittiful, pitiful
pittifull, pitiful
pittifully, pitifully
pittious, piteous
pittiously, piteously
pitty, pity
plaine, plain
plainely, plainly
plainr, plainer
playsters, plasters
pleasantnes, pleasantness
pleasantnesse, pleasantness
pleaseth, ''
plentifull, plentiful
plyed, plied
pompe, pomp
poore, poor
poorely, poorly
possessd, possessed
possesse, possess
povertie, poverty
poynt, point
poyson, poison
poysoned, poisoned
poysonous, poisonous
praier, prayer
praiers, prayers
prankes, pranks
pratling, prattling
prayeth, ''
prayse, praise
prease, press
preferre, prefer
presse, press
presumest, ''
pretious, precious
pretiously, preciously
prettie, pretty
prevaile, prevail
prevayled, prevailed
preyes, prize
pricke, prick
principall, principal
principallest, principalest
privitie, privity
processe, process
profer, proffer
profered, proffered
professe, profess
profite, profit
proofe, proof
proofes, proofs
proove, prove
prophecier, prophesier
prophesie, prophesy
prostrat, prostrate
proverbe, proverb
providest, ''
provinciall, provincial
prowesse, prowess
prudency, ''
pryed, pried
pryntinge, printing
publike, public
publique, public
purchaseth, ''
purifie, purify
pursueth, ''
pursuite, pursuit
puttest, ''
quaile, quail
quayle, quail
queane, queen
queene, queen
quencht, quenched
quicke, quick
quicknes, quickness
quietnesse, quietness
racke, rack
raigneth, ''
raigning, reigning
raile, rail
raine, rain
ranne, ran
ransackt, ransacked
ransome, ransom
ratled, rattled
ratling, rattling
rayled, railed
rayment, raiment
