Thebans, ''
Thebes, ''
Thelyphron, ''
Theron, ''
Theseus, ''
Thessalian, ''
Thessaly, '???'
Thessaly⁠⁠, ''
Thiasus, ''
Thiestes, ''
Thomas, ''
Thrace, ''
Thracia, ''
Thracian, ''
Thrasileon, ''
Thrasillus, ''
Thucydides, ''
Tighe, ''
Tom, ''
Trent, ''
Trismegistus, ''
Tryton, Triton
Tudor, ''
Ulisses, Ulysses
Ulysses, '???'
Venus, ''
Vestius, ''
Vlysses, Ulysses
Vulcanus, '', 'Vulcan'
Wekes, ''
Whibley, ''
Wil, ''
William, ''
Wykes, ''
Zachlas, ''
Zacynthe, ''
Zephyrus, ''
Mont, ''
Paniasse, ''
Cenchris, '', 'city in Carthage not found'
Eleusis, ''
Midas, '', 'mythical king'
Eridan, ''
Eleusie, Eleusis
Apelious, Apuleius
Cherillus, Choerilus, '3 ancient greek poets'
Serapis, '', 'egyptian snake god'
Mercurie,  Mercury
I, ''
Milo, ''
Apuleii, ''
Scythes

