bloodie, bloody,'’
bloud, blood,'’
bloudie, bloody,'’
bloudy, bloody,'’
blowes, blows,'’
blowne, blown,'’
boare, boar,'’
boares, boars,'’
Boccaccio,'’,'’
bodie, body,'’
Boetia,'’,region of Greece
Boetian,'’,'’
Boetius,'’,'’
boke, book,'’
boldnes, boldness,'’
bole, bowl,'’
bonet, bonnet,'’
booke, book,'’
bookes, books,'’
books, '', [latin]
boords, boards,'’
bord, board,'’
bosome, bosom,'’
bottels, bottles,'’
bottome, bottom,'’
boughes, boughs,'’
boulsters, bolsters,'’
boult,'’,'’
boulting,'’,'’
Bouthiere,'’,'’
boves, '', [latin]
bowe, bow,'’
bowes, bows,'’
boxe, box,'’
boyes, boys,'’
boyled, boiled,'’
branne, bran,'’
brasse, brass,'’
breake, break,'’
breakefast, breakfast,'’
breakr, breaker,'’
brest, breast,'’
brier,'’, [alt] briar
brightnesse, brightness,'’
bringe, bring,'’
bringest,'’,'’
bringeth,'’,'’
bristeled, bristled,'’
Britunis,'’,'’
broomes, brooms,'’
browne, brown,'’
broyle, broil,'’
broyling, broiling,'’
brulinus, '', [latin]
bryers, briers,'’
brymstone, brimstone,'’
bucke, buck,'’
buffetings,'’,'’
buffetted, buffeted,'’
buier, buyer,'’
buiers, buyiers,'’
bulles, bulls,'’
burgen, burgeon,'’
buriall, burial,'’
burne, burn,'’
Burnell,'’,'’
burneth,'’,'’
busie, busy,'’
businesse, business,'’
buttockes, buttocks,'’
Byrrhena,'’,[character] cousin of Apuleius
caelum, '', [latin]
Caesar, '',hail Caesar hail yeah
caitif, caitiff, cowardly
caitife, caitiff,'’
calamitie, calamity,'’
Calipso, Calypso,'’
calleth,'’,'’
calvaria, '', [latin]
Calypso, '', goddess
camell, camel,'’
camelo, '', [french]
campe, camp,'’
Campensis,'’, temple 
camporum, '', [latin]
candels, candles,'’
Candians,'’,'’
Candidus,'’,'’
capacitie, capacity,'’
capillum, '', [latin]
capitalisation,'’,'’
Cappadocia,'’,'’
captaine, captain,'’
captaines, captains,'’
carefull, careful,'’
carelesse, careless,'’
carest,'’,'’
caried, carried,'’
carkases, carcasses,'’
carkasse, carcasse,'’
carnall, carnal,'’
carraine, carrion,'’
carrie, carry,'’
carryed, carried,'’
Carthage,'’,'’
Carthaginians,'’,'’
cary, carry,'’
castell, castle,'’
casteth,'’,'’
causeth,'’,'’
causificantem, '', [latin]
cavellations, cavillations,'’
caverne, cavern,'’
cavillations,'’,'’
caytiffe, caitiff,'’
cc,'','’
cc0,'','’
celestiall, celestial,'’
Cenchris,'’, city in Carthage
centaures, centaurs,'’
Cerberus,'’,'’
cerdo, '', [latin]
